Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 7 8 13 17662.4 18941.4 1062.98 1e-06
2030-Jan-01 8 8 13 17828.5 18941.4 1063.41 1e-06
2030-Jan-01 9 8 13 17994.5 18941.4 1063.34 1e-06
2030-Jan-01 10 8 13 18160.6 18941.4 1060.23 1e-06
2030-Jan-01 11 8 13 18326.7 18941.4 1052.53 1e-06
2030-Jan-01 12 8 13 18492.7 18941.4 1048.06 1e-06
2030-Jan-01 13 8 13 18658.8 18941.4 1048.75 1e-06
2030-Jan-01 14 8 13 18824.9 18941.4 1049.27 1e-06
2030-Jan-01 15 8 13 18990.9 18941.4 1050.25 1e-06
2030-Jan-01 16 8 13 19157 18941.4 1053.54 1e-06
2030-Jan-01 17 8 13 19323.1 18941.4 1059.41 1e-06
2030-Jan-01 18 8 13 19489.1 18941.4 1064.7 1e-06
2030-Jan-01 19 8 13 19655.2 18941.4 1061.59 1e-06
2030-Jan-01 20 8 13 19821.3 18941.4 1048.14 1e-06
2030-Jan-01 21 8 13 19987.3 18941.4 1036.69 1e-06
2030-Jan-01 22 8 13 20153.4 18941.4 1031.15 1e-06
2030-Jan-01 23 8 13 20319.5 18941.4 1027.32 1e-06
2030-Jan-01 24 8 13 20485.5 18941.4 1029.61 1e-06
2030-Jan-01 25 8 13 20651.6 18941.4 1039.5 1e-06
2030-Jan-01 26 8 13 20817.7 18941.4 1055.85 1e-06
2030-Jan-01 27 8 13 20983.7 18941.4 1067.51 1e-06
2030-Jan-01 28 8 13 21149.8 18941.4 1067.87 1e-06
2030-Jan-01 29 8 13 21315.9 18941.4 1061.94 1e-06
2030-Jan-01 30 8 13 21481.9 18941.4 1056.33 1e-06
2030-Jan-01 31 8 13 21648 18941.4 1056.63 1e-06
2030-Jan-01 32 8 13 21814.1 18941.4 1061.09 1e-06
2030-Jan-01 33 8 13 21980.1 18941.4 1065.37 1e-06
2030-Jan-01 34 8 13 22146.2 18941.4 1067.44 -9999
2030-Jan-01 35 8 13 22312.3 18941.4 1069.22 -9999
2030-Jan-01 36 8 13 22478.3 18941.4 1072.08 -9999
2030-Jan-01 37 8 13 22644.4 18941.4 1069.27 -9999
